date,jd,lon,lat,h,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,x_earth,y_earth,z_earth,vx_earth,vy_earth,vz_earth,vx_surface,vy_surface,vz_surface,v_speed,z_impact,e,q,tp,node,peri,i
2032-12-22 13:55:00.158,2463589.0798629452,-75.1876422510924,3.81063737536814,0.09366616015672599,-4543607.614991695,-3914070.436118699,2171707.6352170566,-5404.095031635466,16052.399976907975,-3708.9230156720214,1627040.9552665092,-6152729.272516496,421060.35169922485,-5404.095031635466,16052.399976907975,-3708.9230156720214,-5852.75917861128,15933.754265394198,-3708.9230156720214,17375.138126903283,10.050357267828817,0.6615622041020611,0.8514977890971954,2460636.9177096845,271.3656101187018,134.3612930188064,3.40822727783063
2032-12-22 13:54:41.260,2463589.0796442074,-66.56795485076144,2.762237807858875,0.04924996509378661,-3835943.1928019254,-4539810.42148975,2314366.5978618483,-5777.788541351023,15937.841582629442,-3639.350026623074,2533429.445663147,-5845438.153780768,305318.89057182724,-5777.788541351023,15937.841582629442,-3639.350026623074,-6204.044663927542,15753.100972273127,-3639.350026623074,17317.483334795554,9.581469678759357,0.661562206522926,0.8514978473184911,2460636.9177140705,271.36560528382824,134.36130705708425,3.4082252652212084
2032-12-22 13:54:34.980,2463589.0795715284,-57.49868560119555,1.8785958449062723,0.022789081900568844,-2991047.84630974,-5078222.371829978,2438426.114135996,-6147.568606750041,15813.541614175976,-3575.6577091710574,3425276.520951593,-5376334.9755446855,207688.65284768553,-6147.568606750041,15813.541614175976,-3575.6577091710574,-6539.617182076418,15563.766481814191,-3575.6577091710574,17256.382820327857,13.947339431185487,0.661562221638225,0.851497894841214,2460636.9177163932,271.3656060607624,134.36131245878346,3.408224645085662
2032-12-22 13:54:41.003,2463589.0796412346,-50.219272767507036,1.3466186832750644,0.011711786569666635,-2251832.40747615,-5411043.984535128,2516045.587193398,-6429.923714965525,15711.272425693514,-3530.0826394366622,4079946.7477552253,-4900254.934369239,148888.2280117729,-6429.923714965525,15711.272425693514,-3530.0826394366622,-6787.255982112974,15413.757981905928,-3530.0826394366622,17207.912782576193,19.04208362046971,0.6615622633191721,0.8514978722263417,2460636.917713382,271.36560460094813,134.36130854554878,3.4082262409078123
2032-12-22 13:54:44.367,2463589.0796801713,-48.462734825440315,1.2468689883098951,0.010041223799723194,-2066557.412738753,-5477117.948346232,2532025.084892933,-6496.454650715862,15686.206074776826,-3519.856162133588,4228399.389903456,-4773077.045514226,137861.19039913485,-6496.454650715862,15686.206074776826,-3519.856162133588,-6844.512958862353,15377.866292329654,-3519.856162133588,17196.380920150412,20.363372550395244,0.6615622691682863,0.8514978777941394,2460636.917719325,271.36561132676576,134.36130836784483,3.4082248254895844
2032-12-22 13:54:45.324,2463589.0796912517,-48.17657339369128,1.220877587794904,0.009627022788838615,-2036010.6509846714,-5487886.412971625,2533455.1383767193,-6507.2791355523805,15682.193170424332,-3517.7758484411343,4252226.483988186,-4751944.843961498,134987.84977248465,-6507.2791355523805,15682.193170424332,-3517.7758484411343,-6853.796459078319,15372.115888670927,-3517.7758484411343,17194.51132533517,20.585839555889322,0.6615623024724208,0.8514977990969381,2460636.9177144417,271.3656076221791,134.36130057458212,3.4082260096820898
2032-12-22 13:54:55.353,2463589.0798073234,-43.66819871936148,1.027745274518325,0.006822403550956785,-1550366.785718736,-5628123.225478303,2569284.6045817626,-6674.925036565855,15617.17254431592,-3493.1354194811156,4612896.278978659,-4403283.580733194,113636.34013513553,-6674.925036565855,15617.17254431592,-3493.1354194811156,-6996.017576825512,15280.7948032473,-3493.1354194811156,17165.341441784218,24.081036228360876,0.661562295500599,0.8514978727072198,2460636.917717117,271.36561234346783,134.3613044239504,3.4082265361526707
2032-12-22 13:54:57.987,2463589.0798378172,-42.75571341274699,0.9823891631283937,0.006233579075576384,-1450504.9993412283,-5652517.463115609,2574046.069290171,-6708.425851712234,15604.03541850462,-3487.742453708533,4682498.630827566,-4329323.209720689,108621.86170712017,-6708.425851712234,15604.03541850462,-3487.742453708533,-7024.125116028714,15262.582193299344,-3487.742453708533,17159.519115530144,24.808044913327898,0.6615623130878907,0.8514978412845006,2460636.917713345,271.365602554575,134.36130821034644,3.408226175185295
2032-12-22 13:55:00.360,2463589.0798652736,-41.97047041392747,0.9652941798791226,0.006018540034688253,-1364198.9145271902,-5671332.351621075,2579841.52029306,-6737.168280002851,15592.516542207648,-3483.912220683033,4741414.45429298,-4264765.981129036,106731.85838867616,-6737.168280002851,15592.516542207648,-3483.912220683033,-7048.159956415768,15246.767106896628,-3483.912220683033,17154.536144839134,25.428705821110604,0.6615623017833906,0.8514978791102702,2460636.9177182172,271.3656097391748,134.36130881730065,3.4082261396340447
2032-12-22 13:55:02.746,2463589.0798928975,-41.29120841858737,0.9395611775244875,0.005701957982961635,-1289183.2937592433,-5687248.250453487,2583378.6721219984,-6761.969213038793,15582.63612247142,-3480.1357451495965,4791675.700502738,-4208287.430656663,103886.82764302305,-6761.969213038793,15582.63612247142,-3480.1357451495965,-7068.842408116393,15233.221578855153,-3480.1357451495965,17150.245405414786,25.972651299895368,0.6615623313024054,0.8514978155158123,2460636.917712526,271.36560797958896,134.36129956378102,3.4082274232387553
2032-12-22 13:55:03.256,2463589.0798987956,-40.928181296438034,0.9235493432105528,0.005509286729982357,-1249364.8129359456,-5695452.718186209,2584867.015896922,-6775.0696329458715,15577.420006206134,-3478.0294073608206,4818264.730731281,-4177861.7478919816,102116.55527371747,-6775.0696329458715,15577.420006206134,-3478.0294073608206,-7079.724151985709,15226.066559700104,-3478.0294073608206,17147.952808049544,26.265639603784468,0.6615623142448311,0.8514978630372648,2460636.91770964,271.3655955590693,134.36131417743616,3.4082247627989624
2032-12-22 13:55:31.127,2463589.0802213782,-34.03023908765434,0.8242598718182994,0.0043884478636874195,-476372.8391107783,-5798032.611071138,2614673.660302972,-7022.520662183972,15475.22052337198,-3443.8256936536345,5285292.457803727,-3569034.7327171466,91138.920943194,-7022.520662183972,15475.22052337198,-3443.8256936536345,-7282.7788099029685,15089.810873919236,-3443.8256936536345,17105.58957805582,31.863004122537216,0.6615623441610692,0.8514978836712931,2460636.9177180748,271.36560262295296,134.36131622637382,3.408224409761777
2032-12-22 13:55:39.333,2463589.080316349,-32.38701347620179,0.8318957297270891,0.0044701271326768035,-289994.7860729771,-5808225.187336532,2619361.5229687155,-7080.581947702855,15450.450070579744,-3436.3058267586816,5385453.532883542,-3416000.7220633808,91983.16576219563,-7080.581947702855,15450.450070579744,-3436.3058267586816,-7329.680678062964,15057.736559487646,-3436.3058267586816,17095.842970509413,33.21294702823703,0.6615623535358972,0.8514978838935815,2460636.917721615,271.36561005903957,134.36131207433854,3.408226596385226
2032-12-22 13:55:48.041,2463589.0804171446,-30.735237321797186,0.8380583846913915,0.004536596918945492,-102183.55071342253,-5813493.847981173,2621732.135863169,-7138.596801655376,15425.510547008287,-3428.4717336527688,5481673.277864124,-3259340.876753694,92664.52741934572,-7138.596801655376,15425.510547008287,-3428.4717336527688,-7376.27171459267,15025.780580634015,-3428.4717336527688,17086.189888132292,34.579305214322815,0.6615623756884103,0.8514978533160726,2460636.9177207793,271.3656071309088,134.3613113088085,3.408225407502758
2032-12-22 13:56:40.742,2463589.0810271036,-22.114448180418986,1.081621048180546,0.007556345409250548,879095.6233785917,-5748566.407741842,2619505.054682595,-7436.8531046505495,15292.3417932362,-3391.6402754844057,5907882.435002378,-2400677.888434563,119592.64584723026,-7436.8531046505495,15292.3417932362,-3391.6402754844057,-7611.913317650569,14861.532161326359,-3391.6402754844057,17038.473707930876,41.76834535118997,0.6615624241091943,0.8514978660712499,2460636.9177190927,271.36560689290474,134.3613114651996,3.408226227658201
2032-12-22 13:56:52.151,2463589.081159157,-20.504057242892134,1.1563898873310288,0.008636999972002296,1061482.6936013936,-5719612.222693536,2615324.473935964,-7491.873792815415,15266.95037881094,-3385.113630067058,5972864.877661037,-2233644.759491382,127858.64213607446,-7491.873792815415,15266.95037881094,-3385.113630067058,-7654.753756531795,14831.402151895125,-3385.113630067058,17030.112716974094,43.12223138391809,0.6615624529882795,0.8514978209500157,2460636.917711942,271.36560393932746,134.36130388111866,3.408227236607665
2032-12-22 13:56:59.023,2463589.0812386926,-19.52221242356864,1.1975632979388178,0.009262903433464458,1172212.8726122018,-5699792.0763203055,2611305.968048844,-7525.267497325824,15251.479461422743,-3380.8773712631832,6010175.173776826,-2130937.2225924414,132410.4401311167,-7525.267497325824,15251.479461422743,-3380.8773712631832,-7680.657908456722,14813.210524487233,-3380.8773712631832,17025.10040349359,43.95151039301719,0.6615624454325663,0.8514978552847597,2460636.9177131243,271.3655915720894,134.3613203041699,3.408225729633655
2032-12-22 13:57:17.168,2463589.0814487063,-17.19201641547105,1.3452104275451378,0.011687308053911565,1434290.4710449416,-5643108.899869733,2603606.0338787236,-7604.511359171342,15214.091269342587,-3372.2263171207805,6091502.113145611,-1884704.810884441,148732.55239048298,-7604.511359171342,15214.091269342587,-3372.2263171207805,-7741.946217560751,14769.891877764609,-3372.2263171207805,17013.50486085516,45.913289488915154,0.6615624672297511,0.8514978388129214,2460636.917714473,271.365601622911,134.3613098925736,3.4082269746101463
