m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.4821,-53933852872.702545,-589120540.5481873,28689.87012380509,-27502.68157950672,-4878.693714559082
4.867466257521635e+24,85867685278.1227,65805003527.71457,-4048904997.676274,-21408.577743821566,27647.20658417075,1615.4095554862358
5.972365262433514e+24,-2117988288.712387,147133540603.15765,-10349405.05176707,-30266.394613752305,-531.6867427517532,-0.38012636243977577
7.346031390779777e+22,-2486870167.9326153,147295919071.00565,-38371067.86990344,-30671.102591261646,-1410.1597315238675,52.05354171030773
6.417120205436417e+23,-246481683320.05603,-8600683426.949694,5860214478.801548,1745.1037397198313,-22144.031758057103,-506.87657195452726
1.8981871943454438e+27,490753637407.81256,-581147155569.1665,-8562708687.532295,9832.079964872424,9048.202999445504,-257.5581010964593
5.683361026390224e+26,-74249896608.9736,1346078553895.0261,-20401998201.443474,-10161.811912899284,-546.7861262871158,414.34097669858323
8.681273407389496e+25,40663727514.44026,2844899353345.1924,9998455885.888296,-6853.394991055364,-214.48366682816243,87.77182051838527
1.0241261669693524e+26,4280568711705.9653,1262752179710.3396,-124779536614.58626,-1567.4746291429237,5253.583105065035,-72.35860962752771
0.0,-2449194984.9052196,147236799421.67322,-28978559.137736827,-36282.21427607554,11117.949800225513,-2206.1488875210243
0.0,-2322059588.878456,147199068390.20978,-21525481.786572874,-36192.83512587014,11238.074084925189,-2226.6936299013246
0.0,-2363028222.0049453,147211198925.47922,-23918750.539077584,-36231.60364821092,11187.597956175196,-2217.521726353975
0.0,-2432830301.120822,147231932737.4425,-28017810.33635015,-36274.73420333989,11128.45684866099,-2207.743471920999
0.0,-2411968364.731663,147225722961.61734,-26788715.508582223,-36263.95089531493,11143.514399062915,-2210.1143758547128
0.0,-2042038467.0563734,147108240484.93243,-3625775.850986622,-36725.57315521368,11268.011003881526,-2225.608940263736
0.0,-2714540781.5868497,147315936328.21933,-44691369.106796406,-36340.644932777985,10997.377227296876,-2191.20754998463
0.0,-2397278411.422559,147221349496.583,-25921992.7198285,-36255.414379240545,11155.332470780293,-2212.0407586241886
0.0,-2543698690.5123105,147264980265.94553,-34565684.685379304,-36308.83081028421,11067.84765048669,-2199.1883311136494
0.0,-2280162648.841327,147186715782.72736,-19092576.62091465,-36133.042165884704,11312.06798637096,-2241.1930083224934
0.0,-2640588071.390077,147293875208.80154,-40303557.79980971,-36329.195882404856,11024.022407340637,-2193.9285646121966
0.0,-2547512993.3598695,147266118640.49988,-34791861.14145221,-36309.71333665019,11065.848761724159,-2198.9283042993984
0.0,-2339880448.5049763,147204341079.7195,-22563857.46643717,-36211.44024365773,11214.146696413274,-2222.2670946937506
0.0,-2383730433.0065746,147217330775.7702,-25128112.531811964,-36246.715091461,11167.241183010357,-2214.025415531568
0.0,-2467854903.2584624,147242358883.2294,-30081042.275453232,-36289.66641077601,11107.290651999796,-2204.58265461055
0.0,-2422598128.9180226,147228888404.66733,-27414178.4028423,-36269.62813303986,11135.59836039477,-2208.8584677671834
0.0,-2263341644.3048897,147181781549.30536,-18125311.542817853,-36099.31506849771,11352.30652822331,-2249.5079212676324
0.0,-2075282804.04656,147119240613.5473,-5803852.3164930595,-36950.752206961944,11452.794206951943,-2271.5351221270494
0.0,-2463119303.8139668,147240947978.1417,-29802470.116409723,-36287.89110595138,11109.874898870832,-2204.9556075024584
0.0,-2362174560.2285275,147210945989.14606,-23868289.38265342,-36230.927477368765,11188.498464068462,-2217.6796584590393
0.0,-2332860526.9849133,147202255142.6419,-22152590.144871444,-36204.489265764714,11223.157837110453,-2223.918695592778
0.0,-2034892616.0373223,147105927093.43002,-3168957.3840745515,-36700.37920576662,11247.827710065585,-2220.7860417957063
0.0,-1991805521.6038833,147092146218.7854,-454683.5337134641,-36608.150101186926,11176.866048939191,-2203.7047912712596
0.0,-2634599647.1176386,147292098913.20245,-39954437.76973457,-36328.11747833299,11026.38205242297,-2194.183058190916
0.0,-2102413161.1157637,147128953967.27185,-7778719.427195178,-37830.94280661444,12149.75613143284,-2491.740881946597
0.0,-2569701847.6960845,147272731245.66742,-36102211.15418789,-36314.83298644534,11054.695166876427,-2197.514580209471
0.0,-2385658497.78457,147217916432.58002,-25245352.20324344,-36247.9909039331,11165.48817526904,-2213.72754831622
0.0,-2230634273.135808,147172255366.40634,-16263142.987003854,-36004.64141112997,11461.138668408264,-2273.329997134675
0.0,-2250697279.1204762,147178089560.0503,-17402480.39171846,-36068.28553096378,11388.571819752442,-2257.2383678050805
0.0,-1958894610.452758,147081757545.06223,1587967.1735498111,-36570.97057003846,11150.93795926379,-2197.0825816785587
0.0,-2136062685.9611247,147146223654.8643,-11642021.595001169,-33710.91584078685,13283.994202846703,-2985.320693490621
0.0,-2389322005.1875134,147218987789.10516,-25455009.647857312,-36250.40955976762,11162.201157758196,-2213.180439687153
0.0,-2379922154.9237,147216207035.80994,-24906071.38295781,-36244.10670228831,11170.778012482893,-2214.624014219576
0.0,-2089725031.8813896,147124248663.10706,-6805872.103940626,-37209.72296743408,11665.43307866238,-2330.118559748682
0.0,-2383205656.1281486,147217185173.14188,-25100461.054644343,-36246.350432750565,11167.725859806133,-2214.1046264994534
0.0,-2321499524.1846375,147198898029.1926,-21490181.915250245,-36192.20647193556,11238.881240606675,-2226.8493971674247
0.0,-2654710371.8725586,147298095273.3158,-41143196.842952,-36331.62988904416,11018.59876951326,-2193.343637292555
0.0,-2502739592.629429,147252760741.45715,-32143242.51242567,-36299.803981471065,11089.666081312775,-2202.1122563090594
0.0,-2211456513.9329886,147166710367.39362,-15188278.623309193,-35917.999679185676,11556.75101524574,-2295.695702315974
0.0,-1894620291.8426924,147061623169.46527,5543745.596631824,-36529.647935530855,11126.875281850133,-2189.9080468484835
0.0,-2145649947.8554754,147148524625.28122,-11879653.189089991,-34665.58324256914,12675.56227428395,-2663.826248530995
0.0,-2105626525.7889285,147130244614.86295,-8057159.776907341,-38194.37026433501,12409.553593261968,-2598.1190714567747
0.0,-2682368214.8326197,147306338040.29865,-42781472.357927226,-36336.0448982902,11008.467932552523,-2192.295536335036
0.0,-2227551620.952589,147171361927.82526,-16090297.085862102,-35992.776329462205,11474.434046704931,-2276.354543290459
0.0,-2452590456.8271346,147237814063.10062,-29181590.767128635,-36283.655502858586,11115.913657534289,-2205.842408953074
0.0,-2428637114.7870846,147230681139.02115,-27768584.64197716,-36272.68602780702,11131.32758563662,-2208.190424788104
0.0,-2322745940.355944,147199274563.39575,-21566442.603554506,-36193.605861486925,11237.087487324916,-2226.5075835949683
0.0,-2051949744.129714,147111472453.166,-4262593.411172756,-36769.3600129319,11303.490935451744,-2234.1539125507957
0.0,-2301555260.807888,147193018111.97955,-20333439.51866002,-36166.97268240103,11270.555042565868,-2232.9189383109338
0.0,-2210286669.77656,147166369978.0228,-15120796.80724439,-35911.56310260942,11563.743246396987,-2297.4032113077556
0.0,-2572891372.5354447,147273691958.22537,-36295188.54348344,-36315.54910329261,11053.161535400643,-2197.321869591411
0.0,-2753987397.8973317,147327698641.11285,-47034562.81147579,-36345.6233786115,10984.616675699262,-2190.0339085831206
0.0,-2691865836.90186,147309175389.7982,-43347955.40239654,-36337.45699793341,11005.123786192686,-2191.9580380616326
0.0,-2434683812.185394,147232484745.81442,-28126305.682579555,-36275.62296608988,11127.210940812567,-2207.5519528298128
0.0,-2409326067.3942456,147224939087.79807,-26632927.013652902,-36262.47501772997,11145.561466093664,-2210.446017008419
0.0,-2241578435.954918,147175433912.6913,-16883482.704078387,-36041.93942458555,11418.885694098646,-2263.860282356556
0.0,-2030116358.8207655,147104385363.2684,-2865631.770640574,-36685.78250906581,11236.243740482827,-2218.0188679976122
0.0,-2252724029.0987644,147178682462.91278,-17519114.76042119,-36073.647229292415,11382.344856346355,-2255.8913644701443
0.0,-2190954900.481003,147160856915.50305,-14063554.76176669,-35774.030809482014,11708.867659521758,-2333.9751076103253
0.0,-2372611562.882307,147214037003.3143,-24479650.216073737,-36238.89752441934,11177.824781005951,-2215.8242102116487
0.0,-2533462880.3244514,147261927350.15308,-33961053.516131036,-36306.4899349873,11073.30973850864,-2199.904166730444
0.0,-2098412058.7954173,147127425093.00742,-7456471.757728339,-37547.971872642964,11934.535507489252,-2414.667377353069
0.0,-2029410306.05164,147104158182.19217,-2820503.9692403395,-36683.7569202471,11234.641369524357,-2217.638017116277
0.0,-2276286280.482397,147185577224.68054,-18869342.206457876,-36125.90799576252,11320.656441797068,-2242.9425477183295
0.0,-2015974564.937369,147099841969.84192,-1969377.0130218032,-36650.446905898105,11208.651764829528,-2211.425379921444
0.0,-1869133895.3605921,147053682083.58817,7103051.74171508,-36519.12443547883,11122.29661703359,-2188.1105120330167
0.0,-2309504694.732982,147195362314.85962,-20795339.408482794,-36177.65428356181,11257.239698528572,-2230.3389109042437
0.0,-2037220384.4305553,147106682853.74112,-3319332.863474415,-36708.11711403416,11253.992116455547,-2222.253595163487
0.0,-2230701745.6357355,147172275268.2107,-16267341.745655846,-36004.89201388877,11460.855518964558,-2273.263145134894
0.0,-1915716376.9956093,147068215440.5075,4248997.8787849415,-36540.34664635384,11132.34393617549,-2191.746710134677
0.0,-1940142452.727104,147075863540.29883,2746205.3289993354,-36555.8646426437,11141.332575145889,-2194.4373137417597
0.0,-2087786491.8503191,147123567665.18518,-6669160.656387249,-37160.879470061365,11625.522459458663,-2318.5947455385863
0.0,-2503049685.217372,147252863002.1872,-32162708.346042003,-36299.86859341292,11089.507487933683,-2202.0916178070415
0.0,-2298971876.7999682,147192253312.19052,-20182347.94773271,-36163.306833628936,11275.101852032116,-2233.8084950159396
0.0,-2227965131.5312715,147171472842.37537,-16111238.456485175,-35994.451682297426,11472.59867119272,-2275.938760973969
0.0,-1831541486.9280965,147041989881.3853,9394621.067102766,-36506.9966668661,11118.41747746608,-2186.053618370822
0.0,-2190544128.6853437,147160742892.0521,-14042510.6055762,-35770.273316940846,11712.716654292091,-2334.974821931713
0.0,-2494916863.120767,147250430685.71655,-31681344.735088766,-36297.962040848244,11093.595247097055,-2202.652525892566
0.0,-2141983955.0229843,147147614290.95074,-11762376.143212445,-34388.74652235418,12870.771458086796,-2754.040408114786
0.0,-2319024072.2733064,147198165661.82156,-21346653.30729491,-36189.3484776893,11242.513008989632,-2227.532555864275
0.0,-2244736904.278805,147176350733.69067,-17061060.371634033,-36051.507739075976,11407.929509861757,-2261.45996640959
