m,x,y,z,vx,vy,vz
0.0,90601046735.58144,-286592670596.57135,5305250254.109672,12492.360468359882,19012.9612117741,774.0507230965538
0.0,99624227903.9399,-271385203260.91437,5865754093.868522,12153.955010084243,20100.996337068693,754.4612096292783
0.0,79846921358.29477,-303261407802.4307,4634093179.916216,12797.372745316456,17834.126020128046,791.3635241530842
0.0,88845338743.70132,-289412751971.6083,5195790082.652122,12548.719140923045,18812.57803175348,777.2819672359277
0.0,51158491582.35558,-341974284796.59406,2850038982.056295,13261.635853856595,15149.325842156888,814.8448594986015
0.0,28247440573.036884,-368569046053.8655,1436644865.765031,13395.688550794574,13347.468364871433,817.6647182953388
0.0,69049513621.37775,-318734305780.2587,3961571990.181913,13021.049190370935,16752.715479122675,803.5795091611093
0.0,97865139413.36194,-274449699098.68417,5756699421.796916,12226.98633999831,19880.65635227579,758.7119394033101
0.0,110554334913.85902,-251092985393.20456,6543055151.274132,11603.617155805166,21573.55247201803,722.0552138009623
0.0,71937631599.7238,-314705875783.91943,4141229174.7561507,12968.165355697569,17033.001024565638,800.7475148969777
0.0,-2222877534.3420267,-399477872335.71027,-373676840.6433548,13378.845036214132,11281.951540805683,806.1464895172523
0.0,130324308015.70705,34728864385.590164,7669578479.517921,-17391.991991953273,35842.66217975385,-994.9871948894188
0.0,65411836969.74087,-323701883441.7177,3735525855.993253,13081.215621374755,16408.315155348908,806.747965956995
0.0,152244824089.29703,-121664881552.02258,9091156011.279032,4514.30023595166,31116.532020502993,294.99542582550686
0.0,59412880169.64767,-331649657920.1789,3363292131.0313816,13166.156013846208,15860.069216533051,811.0930068129754
0.0,122334750096.32568,-226133825548.30722,7272252393.664693,10754.187428896374,23412.009483917536,671.278332802464
0.0,57354652648.87319,-334310041520.78723,3235729329.62449,13191.538480106023,15677.29744131609,812.352318431127
0.0,64612055662.196434,-324778676368.55444,3685857205.5310388,13093.533290217538,16333.838677886286,807.3895896673129
0.0,76429497395.81447,-308283317515.3147,4420979346.47398,12876.116603427552,17481.71007538898,795.7277458022397
0.0,126359930887.11485,-216597043378.19693,7520656252.806136,10374.739199985,24120.662540928297,648.4489990884601
0.0,85866240468.04028,-294105272502.68933,5009868327.696451,12638.190715710583,18479.99828475908,782.3903951332456
