6.615605370148676112e-01 8.514981103165482068e-01 2.460636917698040605e+06 2.713656088050238964e+02 1.343613147014301319e+02 3.408218637436829290e+00
6.615569865748509581e-01 8.514986156006207896e-01 2.460636917657303158e+06 2.713656098790481792e+02 1.343613277384760067e+02 3.408205387578616463e+00
6.615566410791281493e-01 8.514986655549713346e-01 2.460636917658783030e+06 2.713656220019433363e+02 1.343613219416066329e+02 3.408204840058727481e+00
6.615606527581412433e-01 8.514980987449028982e-01 2.460636917694272939e+06 2.713655930991957916e+02 1.343613263468052139e+02 3.408218317073568482e+00
6.615579619959094382e-01 8.514984792081666809e-01 2.460636917668065988e+06 2.713656088779010247e+02 1.343613250149921328e+02 3.408210580066907802e+00
6.615582053603706880e-01 8.514984173002955181e-01 2.460636917671713512e+06 2.713656139321161618e+02 1.343613172133001967e+02 3.408211587625821437e+00
6.615513674463209259e-01 8.514994388636130118e-01 2.460636917596436571e+06 2.713656209905864216e+02 1.343613441015714329e+02 3.408187231346205603e+00
6.615535871379170096e-01 8.514990877311355844e-01 2.460636917620317545e+06 2.713656233026533187e+02 1.343613282221163274e+02 3.408196186283300122e+00
6.615595051713716312e-01 8.514982715716086226e-01 2.460636917683346197e+06 2.713656071328471739e+02 1.343613193011402416e+02 3.408216372789711013e+00
6.615587868988754838e-01 8.514983582616060254e-01 2.460636917676667217e+06 2.713656116732083206e+02 1.343613173443594349e+02 3.408213559267609938e+00
6.615454374608688015e-01 8.515002991918337871e-01 2.460636917528023478e+06 2.713656191095727195e+02 1.343613699339918242e+02 3.408165257021758432e+00
6.615475334281097908e-01 8.514999994491518898e-01 2.460636917557317764e+06 2.713656298883933573e+02 1.343613555716034966e+02 3.408172140225786073e+00
6.615561929972071376e-01 8.514987316539081030e-01 2.460636917647716589e+06 2.713656096549913173e+02 1.343613307009558184e+02 3.408202910721645384e+00
6.615486667549597133e-01 8.514998528375486986e-01 2.460636917568144854e+06 2.713656166030829695e+02 1.343613637503092377e+02 3.408175493312600501e+00
6.615615956473168691e-01 8.514979758776980434e-01 2.460636917706976179e+06 2.713656061106084394e+02 1.343613121836120854e+02 3.408223592897500875e+00
6.615368070973736137e-01 8.515015722964688338e-01 2.460636917438630015e+06 2.713656323135367643e+02 1.343614032433188470e+02 3.408132166595962964e+00
6.615488690516370118e-01 8.514998015415613519e-01 2.460636917567832395e+06 2.713656253114399419e+02 1.343613495570788530e+02 3.408178886748051806e+00
6.615595786284694801e-01 8.514982605682612782e-01 2.460636917684499640e+06 2.713656082230597804e+02 1.343613179648153277e+02 3.408216066512216536e+00
6.615524060570733278e-01 8.514993207431835742e-01 2.460636917605140246e+06 2.713656065619836113e+02 1.343613543984601790e+02 3.408190077346250124e+00
6.615609687580884524e-01 8.514980082948664375e-01 2.460636917701038532e+06 2.713656107425517234e+02 1.343613059890453201e+02 3.408220719079589678e+00
6.615676509367127700e-01 8.514970778598166534e-01 2.460636917777568102e+06 2.713656087831306536e+02 1.343612833226526391e+02 3.408244969783034151e+00
6.615433238711143638e-01 8.515006532925900595e-01 2.460636917506899685e+06 2.713656064152982594e+02 1.343613991109905328e+02 3.408153239937846912e+00
6.615513048835000021e-01 8.514994747063754366e-01 2.460636917600370944e+06 2.713656245803517777e+02 1.343613472476915263e+02 3.408186335278694745e+00
6.615669187669729334e-01 8.514971660025161260e-01 2.460636917768578045e+06 2.713656169325833503e+02 1.343612763904070562e+02 3.408245552642172438e+00
6.615574602987450703e-01 8.514986090535645591e-01 2.460636917657955550e+06 2.713655922915758083e+02 1.343613447593748162e+02 3.408205484978884314e+00
6.615598715964872145e-01 8.514982172391687421e-01 2.460636917691599578e+06 2.713656159862805453e+02 1.343613125775984827e+02 3.408218069424278518e+00
6.615593723683398375e-01 8.514982534063075814e-01 2.460636917684658431e+06 2.713656105036856161e+02 1.343613154291781200e+02 3.408215118335568228e+00
6.615587332265386866e-01 8.514983976383901920e-01 2.460636917678412981e+06 2.713656184431304723e+02 1.343613159736095213e+02 3.408214210602394711e+00
6.615663705248224780e-01 8.514972731573996478e-01 2.460636917760567274e+06 2.713656072206800900e+02 1.343612895040494095e+02 3.408242157652399129e+00
6.615606513969275460e-01 8.514980884360592306e-01 2.460636917704198975e+06 2.713656191424038866e+02 1.343613077660618274e+02 3.408219123589120159e+00
6.615651462044079834e-01 8.514973936700007684e-01 2.460636917746820953e+06 2.713656111758684801e+02 1.343612854493831890e+02 3.408235773077682218e+00
6.615627904365345424e-01 8.514977788606936659e-01 2.460636917731181253e+06 2.713656325100013191e+02 1.343612878873211116e+02 3.408229764166990527e+00
6.615496495881407757e-01 8.514997166811648643e-01 2.460636917574975174e+06 2.713656138575074124e+02 1.343613592088600512e+02 3.408179896857304936e+00
