t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240933276.3124108,3,484,-2090757965.0613394,147134016479.68866,-10349063.725565698,-30266.448763959874,-526.1838933807838,-0.37863914897166984,-2090601338.9912474,147127250769.2776,-7520270.198586806,-37353.50784850698,14431.89465783608,-3222.7807350163193,0.9583449706758983,0.6615623535358972,0.8514978838935815,2460636.917721615,271.36561005903957,134.36131207433854,3.408226596385226
240933276.3124108,3,43,-2090757965.0613394,147134016479.68866,-10349063.725565698,-30266.448763959874,-526.1838933807838,-0.37863914897166984,-2090848673.548818,147127382572.9867,-7551083.433492039,-37309.74344744054,14513.409215403035,-3254.15477404598,0.9407647362816927,0.6615623441610692,0.8514978836712931,2460636.9177180748,271.36560262295296,134.36131622637382,3.408224409761777
240933276.3124108,3,335,-2090757965.0613394,147134016479.68866,-10349063.725565698,-30266.448763959874,-526.1838933807838,-0.37863914897166984,-2097422087.0626392,147130881153.75336,-8341945.037751355,-35121.70667164211,15094.487205822432,-3535.3574249225635,0.9973437518412914,0.661562061451894,0.8514978994009825,2460636.917715875,271.36560881764814,134.3613101078466,3.4082247481650616
240933276.3124108,3,201,-2090757965.0613394,147134016479.68866,-10349063.725565698,-30266.448763959874,-526.1838933807838,-0.37863914897166984,-2097267795.5495667,147130801818.94067,-8324963.140088391,-35158.05718572583,15123.401789403075,-3546.1095761350048,0.9847662965177916,0.6615620907149768,0.8514978436856039,2460636.917712748,271.3656141751267,134.36129660709489,3.408225612355856
240933349.94296917,3,337,-2092986500.4224598,147133977719.89493,-10349091.609463325,-30266.444369805646,-526.6342456346373,-0.3787609876506591,-2091731373.2127178,147127462841.89096,-7561989.39360526,-37634.42744158141,14367.232692926536,-3216.0080120485204,0.9402318209957725,0.6615624241091943,0.8514978660712499,2460636.9177190927,271.36560689290474,134.3613114651996,3.408226227658201
240933349.94296917,3,736,-2092986500.4224598,147133977719.89493,-10349091.609463325,-30266.444369805646,-526.6342456346373,-0.3787609876506591,-2091462053.6670406,147127323800.03326,-7530059.6420586305,-37660.203809841805,14267.239928766583,-3177.1396755252454,0.9649492839017376,0.6615624529882795,0.8514978209500157,2460636.917711942,271.36560393932746,134.36130388111866,3.408227236607665
240933349.94296917,3,466,-2092986500.4224598,147133977719.89493,-10349091.609463325,-30266.444369805646,-526.6342456346373,-0.3787609876506591,-2091298587.7903864,147127243107.0715,-7512587.6850047605,-37674.0723723775,14209.334051642301,-3154.6284818494014,0.9799083393810897,0.6615624454325663,0.8514978552847597,2460636.9177131243,271.3655915720894,134.3613203041699,3.408225729633655
240933384.20358035,3,856,-2094023447.2695694,147133959673.4941,-10349104.587017287,-30266.442322907722,-526.8437965532586,-0.37881767211787293,-2092189342.6339242,147127521925.3543,-7571928.956844,-37761.82654575414,14282.41828860519,-3191.9081896325497,0.9468744944852671,0.6615624672297511,0.8514978388129214,2460636.917714473,271.365601622911,134.3613098925736,3.4082269746101463
240933499.0992777,3,762,-2097500930.872691,147133899101.03748,-10349148.122457001,-30266.43544790445,-527.546542788267,-0.3790077328272642,-2093961799.3576355,147127819785.87857,-7624235.523465013,-38084.077307691216,13984.72521466582,-3105.851468138182,0.9856305161159139,0.6615625771889052,0.8514978054482976,2460636.917718976,271.3656087223464,134.36130382518476,3.4082272911579143
240933534.1837796,3,774,-2098562813.6474118,147133880588.56537,-10349161.420772443,-30266.433345311594,-527.7611332319375,-0.3790657588818392,-2095157632.4915104,147128240721.188,-7718014.599425628,-38200.19065299523,14135.928538247297,-3177.86624530355,0.9268776194217575,0.6615625999806178,0.851497762617208,2460636.91771304,271.3656037525208,134.36129933259684,3.408226365260064
240933566.82991877,3,910,-2099550895.8105454,147133863355.94263,-10349173.796687234,-30266.43138748485,-527.96080976433,-0.379119747601892,-2095432151.334899,147128210238.92416,-7702972.694727945,-38248.733504040385,13927.271123215383,-3102.7966808349256,0.9770677474775822,0.6615626139880286,0.8514978167109312,2460636.9177149823,271.3656101775619,134.36129934960832,3.408230011495394
240933678.5956424,3,777,-2102933645.0415614,147133804309.81897,-10349216.179607801,-30266.424674812188,-528.6444130195523,-0.3793045475920608,-2098268027.3482063,147129032925.2465,-7877771.783923031,-38553.676032890355,13933.73824925221,-3144.224385000786,0.9297815426594732,0.6615626690728161,0.8514978094809678,2460636.9177204412,271.3656062470662,134.36130773252822,3.4082270810411486
240933750.20052388,3,88,-2105100868.6394358,147133766440.61826,-10349243.343902998,-30266.420366111284,-529.0823770919355,-0.3794229163238071,-2099833954.5445259,147129426543.72006,-7956355.293064017,-38690.752889001196,13798.544938799616,-3112.6220965192383,0.9448870932402589,0.6615627200312512,0.8514977887208504,2460636.9177203826,271.3656067394363,134.3613046848594,3.4082274527940126
240933870.6073256,3,305,-2108745151.079382,147133702691.16418,-10349289.040983627,-30266.413106581673,-529.8188338644391,-0.3796219111238616,-2102618171.758243,147130155509.1561,-8103015.735332146,-38893.01053436423,13585.00162432448,-3065.361654759652,0.9704406967770763,0.6615627771936243,0.8514978103148807,2460636.9177219826,271.3656047644391,134.36131035787167,3.408226966923788
240933908.48225874,3,754,-2109891489.408779,147133682619.92426,-10349303.420323312,-30266.41081934108,-530.0504924664369,-0.37968449422793493,-2103633813.345835,147130439167.5979,-8161010.054711918,-38980.0675351824,13554.889003631397,-3069.136560009889,0.9642554867790856,0.661562820568857,0.8514977405046222,2460636.917726756,271.3656285389719,134.3612838724088,3.408229852311917
240934040.99418834,3,375,-2113902149.3780339,147133612328.2104,-10349353.747553263,-30266.402803115358,-530.8609903318448,-0.37990340550976354,-2106919554.2559156,147131336502.59167,-8345409.594565301,-39169.75772888682,13327.1203669329,-3021.2819041997523,0.9946227973537919,0.6615628646509415,0.8514977924031565,2460636.9177190424,271.3655997525588,134.36131141844078,3.408228333352972
240934128.1032324,3,889,-2116538626.5638275,147133566062.21133,-10349386.846841991,-30266.397521710936,-531.3937858763607,-0.3800472713546485,-2109752787.7288182,147132215741.41324,-8538578.660774909,-39521.99754808789,13324.83022793208,-3086.7606218471233,0.9344320691411416,0.6615629038423532,0.8514977431789931,2460636.91772179,271.36561355000543,134.36129522255322,3.4082299696788496
240934128.1032324,3,604,-2116538626.5638275,147133566062.21133,-10349386.846841991,-30266.397521710936,-531.3937858763607,-0.3800472713546485,-2109466662.6769915,147132089063.05615,-8506211.936139842,-39399.17451019052,13252.902090717873,-3038.118214758437,0.9741572818746607,0.6615629045254213,0.8514977658803855,2460636.9177171704,271.365600408253,134.36130635977955,3.408228935449808
240934170.14857578,3,233,-2117811187.5866044,147133543714.1708,-10349402.827519627,-30266.394969161127,-531.650953030183,-0.38011670061107844,-2110626631.6201446,147132415740.63895,-8574819.240432382,-39473.44067727535,13189.194528251935,-3030.9927945384397,0.9780731163821133,0.6615629278903336,0.8514977482727101,2460636.9177173986,271.3656002543801,134.3613050097829,3.408226758457054
240934170.14857578,3,180,-2117811187.5866044,147133543714.1708,-10349402.827519627,-30266.394969161127,-531.650953030183,-0.38011670061107844,-2110765549.0687928,147132480623.82013,-8592221.550086001,-39535.28206404326,13220.30994001491,-3053.4089418537505,0.9588563002096988,0.6615629120806611,0.8514977762025289,2460636.9177190764,271.36559412008927,134.36131517083513,3.408227033483741
